"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"74","EC_018_INC-D4","EC_018",0,0,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,541.9,21.1,6.79,6.62,5.67,13.37
"75","EC_018_INC-D5","EC_018",0,0,0.0384120639534884,0.144330676745923,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,571.6,21,6.45,6.63,5.52,13.39
"76","EC_018_INC-W1","EC_018",-0.271,-1.021,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,525.8,21.6,6.2,9.6,9.6,13.35
"77","EC_018_INC-W2","EC_018",-0.463,-1.746,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,536.8,21.1,6.2,9.6,9.59,13.34
"78","EC_018_INC-W3","EC_018",-132.996,-500.84,0.036457945802765,0.137295821050053,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,533.1,20.4,6.51,9.66,9.66,13.36
"79","EC_018_INC-W4","EC_018",-0.466,-1.751,0.034858653746618,0.130978983368173,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,527.5,20.9,6.4,9.53,9.53,13.39
"80","EC_018_INC-W5","EC_018",-0.201,-0.756,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,527.2,21.02,6.69,9.62,9.58,13.37
"81","EC_021_INC-D1","EC_021",0,0,0.0394267399812498,0.125648941691969,"9","37.1","50","96.1","3.9","0",5.958,1186,20.8,7.37,4.14,2.38,15.95
"82","EC_021_INC-D2","EC_021",0,0,0.0416533356151134,0.13291153186766,"9","37.1","50","96.1","3.9","0",5.958,1183,20.7,7.49,4.14,2.23,15.93
"83","EC_021_INC-D3","EC_021",0,0,0.0461446220930233,0.147985948618957,"9","37.1","50","96.1","3.9","0",5.958,1185,20.8,7.42,4.12,2.47,15.85
"84","EC_021_INC-D4","EC_021",-0.331,-1.079,0.034858653746618,0.113583347986817,"9","37.1","50","96.1","3.9","0",5.958,1161,21,7.51,4.06,2.14,15.6
"85","EC_021_INC-D5","EC_021",-0.519,-1.665,0.0392265264998297,0.12587901316369,"9","37.1","50","96.1","3.9","0",5.958,1185,21,7.46,4.12,2.11,15.84
"86","EC_021_INC-W1","EC_021",-0.168,-0.537,NA,NA,"9","37.1","50","96.1","3.9","0",5.958,1190,20.6,8,12.65,12.65,15.91
"87","EC_021_INC-W2","EC_021",-0.15,-0.48,NA,NA,"9","37.1","50","96.1","3.9","0",5.958,1157,20.9,7.62,9.15,9.15,15.89
"88","EC_021_INC-W3","EC_021",-1.143,-3.67,NA,NA,"9","37.1","50","96.1","3.9","0",5.958,1157,20.9,7.46,9.15,9.15,15.83
"89","EC_021_INC-W4","EC_021",-0.12,-0.384,NA,NA,"9","37.1","50","96.1","3.9","0",5.958,1163,20.7,7.58,9.07,9.07,15.88
"90","EC_021_INC-W5","EC_021",-0.662,-2.122,NA,NA,"9","37.1","50","96.1","3.9","0",5.958,1143,20.1,7.4,9.1,9.1,15.86
"91","EC_022_INC-D1","EC_022",-0.496,-1.644,0.121840954777032,0.403952623277075,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,80.29,21.5,6.59,4.36,2.59,15.64
"92","EC_022_INC-D2","EC_022",-0.231,-0.771,0.14533789885611,0.4852676155432,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,87.94,21.7,6.54,4.34,2.65,15.53
"93","EC_022_INC-D3","EC_022",-0.187,-0.624,0.135170352237385,0.451028846497111,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,87.03,21.6,6.53,4.34,2.48,15.54
"94","EC_022_INC-D4","EC_022",-0.301,-0.994,0.142999467893948,0.472289898643624,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,88.78,21.1,6.55,4.38,2.42,15.7
"95","EC_022_INC-D5","EC_022",-0.259,-0.861,0.131719831071346,0.438105734479954,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,46.98,21.4,6.61,4.35,2.39,15.59
"96","EC_022_INC-W1","EC_022",-8.908,-29.59,0.249555396931852,0.828968353434167,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,83.39,20.7,7.86,8.34,8.33,15.61
"97","EC_022_INC-W2","EC_022",-4.843,-16.026,0.109070700055115,0.360921698146643,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,70.91,21.1,7.64,8.26,8.26,15.67
"98","EC_022_INC-W3","EC_022",-99.795,-331.071,0.249073058814696,0.826307442016535,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,71.7,21,6.81,8.25,8.25,15.63
"99","EC_022_INC-W4","EC_022",-5.137,-17.031,0.250266346603101,0.8297353497705,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,73.32,20.8,6.76,8.25,8.25,15.64
"100","EC_022_INC-W5","EC_022",-11.869,-39.35,0.243278848736392,0.806568935008194,"12.7","54","24.5","91.2","2.7","6.1",31.5736666666667,72.09,21.3,6.62,8.28,8.28,15.64
"101","EC_023_INC-D1","EC_023",-268.622,NA,0.831674358753766,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,122.7,21.5,6.38,NA,NA,NA
"102","EC_023_INC-D2","EC_023",-1.016,NA,0.284352214194929,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,108.7,21.3,6.32,NA,NA,NA
"103","EC_023_INC-D3","EC_023",-213.236,NA,0.976643504582245,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,117.4,21.2,6.41,NA,NA,NA
"104","EC_023_INC-D4","EC_023",-269.899,NA,0.67828125,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,119.2,21,6.49,NA,NA,NA
"105","EC_023_INC-D5","EC_023",-245.434,NA,0.613666081403446,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,117.2,21.5,6.57,NA,NA,NA
"106","EC_023_INC-W1","EC_023",-243.227,NA,1.56967857381765,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,145.8,21.2,6.42,NA,NA,NA
"107","EC_023_INC-W2","EC_023",-271.999,NA,1.40046826097054,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,139,21.1,6.46,NA,NA,NA
"108","EC_023_INC-W3","EC_023",-264.878,NA,1.35922965116279,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,139.9,21.1,7.1,NA,NA,NA
"109","EC_023_INC-W4","EC_023",-257.059,NA,1.36792877906977,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,137.1,21.1,6.9,NA,NA,NA
"110","EC_023_INC-W5","EC_023",-223.44,NA,1.37089349040362,NA,"13.9","24.5","42.7","81.1","6.2","12.7",67.9295,136.5,21.1,6.7,NA,NA,NA
"111","EC_024_INC-D1","EC_024",0,0,NA,NA,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,238.4,21.5,6.42,2.86,1.41,17.21
"112","EC_024_INC-D2","EC_024",0,0,0.0377485516587398,0.11096313322286,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,254.3,21.3,6.72,2.85,1.31,17.15
"113","EC_024_INC-D3","EC_024",0,0,0.0404581722007379,0.118720479345506,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,248.7,21.7,5.99,2.86,1.26,17.18
"114","EC_024_INC-D4","EC_024",0,0,0.0318258559244532,0.0937171071681926,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,254.3,21.7,6.08,2.85,1.49,17.12
"115","EC_024_INC-D5","EC_024",0,0,NA,NA,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,262.9,21.6,6.24,2.84,1.53,17.08
