"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_069","D",1634.6,6.848,21.04,3.402,10.84,1.737,5.54,0.260035646255651,0.130991807108041,0.12904383914761,137.778,472.978,0.251,0.079,3.59416666666667,4.675,5.9,5.5,83.3,94.7,3.3,2,6.542
"EC_069","W",1259,6.528,21.26,201.898,641.804,201.898,641.804,0.536118535307721,0.535867041445247,0.000251493862474517,66.196,237.174,0.944,0.297,4.084,1.11,5.9,5.5,83.3,94.7,3.3,2,6.542
"EC_070","D",146.52,7.034,20.8,0.832,2.888,0.247,0.856,0.361954282403282,0.210766111630169,0.151188170773113,22.342,72.098,1.057,0.305,2.53333333333333,0.908333333333333,37.2,46.1,4,87.3,3.4,9.3,3.45175
"EC_070","W",166.92,6.712,21.02,1.985,6.919,3.206,11.176,0.60142030022617,0.60142030022617,0,13.672,42.696,1.063,0.305,2.804,0.528,37.2,46.1,4,87.3,3.4,9.3,3.45175
"EC_071","D",523.14,6.604,19.96,116.969,591.299,5.243,26.52,0.897781727917336,0.504263427881028,0.393518300036308,7.452,61.572,0.4,0.079,5.761,7.712,27.2,21.6,2.5,51.3,1.7,47,46.784
"EC_071","W",470.16,6.75,19.58,285.276,1440.755,285.276,1440.755,1.08489608736992,1.0850858406906,-0.000189753320683073,8.766,109.272,1.714,0.339,5.241,7.428,27.2,21.6,2.5,51.3,1.7,47,46.784
"EC_072","D",932.575,6.99,20.975,242.892,1224.041,242.892,1224.041,1.00440645005388,0.673823842719605,0.330582607334272,9.255,74.892,0.509,0.101,8.3625,1.99,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333
"EC_072","W",959.725,6.86,20.775,262.141,1326.668,262.141,1326.668,1.23951532280654,1.23951532280654,0,5.945,42.57,0.959,0.19,8.4075,2.505,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333
"EC_073","D",103.76,7.638,21.28,0.272,1.319,0.272,1.319,0.839639555933885,0.630974274955053,0.208665280978832,4.336,12.314,0.958,0.197,2.45,1.258,5.7,2.6,87.1,95.4,0.4,4.2,4.4186
"EC_073","W",109.94,7.702,21.28,2.513,12.199,2.513,12.199,1.11198866630004,1.11198866630004,0,6.922,18.348,1.169,0.241,2.496,0.522,5.7,2.6,87.1,95.4,0.4,4.2,4.4186
"EC_074","D",124.92,6.83,21.04,1.909,5.741,0.288,0.863,0.195810957522069,0.0744463334648066,0.121364624057262,5.61,18.628,0.091,0.03,1.88833333333333,2.845,2.2,20.2,75.9,98.3,1.7,0,6.0076
"EC_074","W",104.44,6.954,20.72,0.58,1.739,0.58,1.739,0.403464715331465,0.403464715331465,0,4.742,12.706,0.06,0.02,1.97142857142857,1.11571428571429,2.2,20.2,75.9,98.3,1.7,0,6.0076
"EC_075","D",205.5,7.33,21.88,4.609,15.971,1.961,6.812,0.360544143048061,0.119585426663913,0.240958716384149,24.6,107.668,0.945,0.272,17.794,1.38,59,26.1,1.4,86.5,3.8,9.7,10.907
"EC_075","W",216.04,6.91,21.72,195.439,677.914,195.439,677.914,0.563308530609786,0.563308530609786,0,16.318,67.876,1.655,0.477,14.65,1.06,59,26.1,1.4,86.5,3.8,9.7,10.907
"EC_076","D",721.4,7.48,20.8,3.889,12.699,1.223,3.979,0.288674175237171,0.0527813951775189,0.235892780059652,57.82,177.414,0.242,0.074,6.661,3.909,27.9,28.4,13.6,69.9,4.7,25.4,12.886
"EC_076","W",708.76,7.426,21.04,127.573,416.997,127.573,416.997,0.6055747475271,0.6055747475271,0,48.322,187.13,0.44,0.134,6.708,1.934,27.9,28.4,13.6,69.9,4.7,25.4,12.886
"EC_078","D",693.76,6.812,21.12,48.486,210.732,1.778,7.697,0.661425576254568,0.405664272512754,0.255761303741815,48.016,238.72,0.698,0.161,3.37875,3.2625,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333
"EC_078","W",504.13,6.678,21.12,233.583,1013.47,233.583,1013.47,0.92084117409905,0.92084117409905,0,27.508,142.684,1.758,0.405,3.474,2.222,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333
"EC_080","D",238.94,6.488,20.92,270.417,3435.77,270.417,3435.77,3.66278959834718,3.036205702281,0.626583896066173,6.73,147.66,2.891,0.227,10.8,1.09,43.9,33,2,78.9,13.5,7.6,80.5323333333333
"EC_080","W",251.24,6.62,20.76,276.226,3521.549,276.226,3521.549,3.89407555061761,3.89407555061761,0,5.798,107.306,3.179,0.249,10.768,1.214,43.9,33,2,78.9,13.5,7.6,80.5323333333333
"EC_081","D",75.676,6.41,19.7,2.242,7.66,0.296,1.014,0.343883890873915,0.169005637103569,0.174878253770346,19.49,76.714,0.38,0.112,5.113,0.741,27.4,61.2,1.7,90.3,1.1,8.6,5.2445
"EC_081","W",82.362,6.556,19.7,179.301,619.455,179.301,619.455,0.541013414627816,0.541012963288105,4.51339711671217e-07,23.78,98.12,0.675,0.195,5.494,0.654,27.4,61.2,1.7,90.3,1.1,8.6,5.2445
"EC_082","D",117,6.7,19.7,0.936,3.148,0.936,3.148,0.317941912642221,0.199327443078474,0.118614469563747,34.918,112.83,0.359,0.107,7.582,0.76,51.7,34.9,7,93.6,2,4.4,7.0035
"EC_082","W",127.38,6.788,19.68,184.201,625.188,184.201,625.188,0.512182488874113,0.512182488874113,0,20.44,69.29,0.41,0.121,6.296,0.624,51.7,34.9,7,93.6,2,4.4,7.0035
